Gene_Id	Gene_desc	Box
Tb927.11.11340	gamma-tubulin complex component 3	<input id="checkbox_Tb927.11.11340" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.11340">
Tb927.2.6080	hypothetical protein  conserved	<input id="checkbox_Tb927.2.6080" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.2.6080">
Tb927.9.18050	variant surface glycoprotein (VSG  atypical)  putative	<input id="checkbox_Tb927.9.18050" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.18050">
Tb927.10.16460	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb927.10.16460" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.16460">
Tb927.5.3170	ribose-phosphate pyrophosphokinase  putative	<input id="checkbox_Tb927.5.3170" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.5.3170">
Tb05.5K5.480	variant surface glycoprotein  degenerate	<input id="checkbox_Tb05.5K5.480" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb05.5K5.480">
Tb927.10.14550	ATP-dependent RNA helicase HEL67	<input id="checkbox_Tb927.10.14550" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.14550">
Tb927.10.14300	MEKK-related kinase 1  putative	<input id="checkbox_Tb927.10.14300" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.14300">
Tb11.v5.0711	DNA polymerase kappa  putative	<input id="checkbox_Tb11.v5.0711" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0711">
Tb927.9.13860	kinetoplastid membrane protein 11-2	<input id="checkbox_Tb927.9.13860" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.13860">
Tb927.9.6150	protein phosphatase 2A regulatory subunit  putative	<input id="checkbox_Tb927.9.6150" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.6150">
Tb927.11.5620	SUMO-interacting motif-containing protein	<input id="checkbox_Tb927.11.5620" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.5620">
Tb927.8.1270	Nucleolar protein 54	<input id="checkbox_Tb927.8.1270" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.1270">
Tb927.11.1000	kinetoplastid kinetochore protein 16	<input id="checkbox_Tb927.11.1000" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.1000">
Tb927.8.2420	hypothetical protein  conserved	<input id="checkbox_Tb927.8.2420" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.2420">
Tb927.8.260	variant surface glycoprotein  degenerate	<input id="checkbox_Tb927.8.260" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.260">
Tb927.10.11530	hypothetical protein  conserved	<input id="checkbox_Tb927.10.11530" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.11530">
Tb927.6.2270	AdoMet dependent proline di-methyltransferase  putative	<input id="checkbox_Tb927.6.2270" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.2270">
Tb927.8.1910	metallo-peptidase  Clan MH  Family M18	<input id="checkbox_Tb927.8.1910" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.1910">
Tb11.v5.0602	leucine-rich repeat protein 1 (LRRP1)  putative	<input id="checkbox_Tb11.v5.0602" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0602">
Tb09.v4.0181	expression site-associated gene 3 (ESAG3  pseudogene)  putative	<input id="checkbox_Tb09.v4.0181" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb09.v4.0181">
Tb927.7.6040	receptor-type adenylate cyclase GRESAG 4  putative	<input id="checkbox_Tb927.7.6040" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.6040">
Tb10.v4.0174	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb10.v4.0174" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb10.v4.0174">
Tb927.5.5280	variant surface glycoprotein  frameshift	<input id="checkbox_Tb927.5.5280" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.5.5280">
Tb927.11.3720	Ring finger domain containing protein  putative	<input id="checkbox_Tb927.11.3720" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.3720">
Tb927.10.11980	QA-SNARE protein putative	<input id="checkbox_Tb927.10.11980" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.11980">
Tb11.v5.0454	GTPase activating protein  putative	<input id="checkbox_Tb11.v5.0454" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0454">
Tb927.11.2380	phosphoglycerate kinase  putative	<input id="checkbox_Tb927.11.2380" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.2380">
Tb927.5.3830	dihydroorotate dehydrogenase (fumarate)	<input id="checkbox_Tb927.5.3830" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.5.3830">
Tb927.9.670	hypothetical protein	<input id="checkbox_Tb927.9.670" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.670">
Tb927.11.10420	DNA-directed RNA polymerase I subunit  putative	<input id="checkbox_Tb927.11.10420" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.10420">
Tb927.10.14310	hypothetical protein  conserved	<input id="checkbox_Tb927.10.14310" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.14310">
Tb927.10.7300	hypothetical protein  conserved	<input id="checkbox_Tb927.10.7300" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.7300">
Tb927.10.2250	ubiquitin-conjugating enzyme variant Kua homologue  putative	<input id="checkbox_Tb927.10.2250" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.2250">
Tb927.11.20550	variant surface glycoprotein (VSG)  putative	<input id="checkbox_Tb927.11.20550" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.20550">
Tb927.11.8750	hypothetical protein  conserved	<input id="checkbox_Tb927.11.8750" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.8750">
Tb927.7.1330	hypothetical protein  conserved	<input id="checkbox_Tb927.7.1330" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.1330">
Tb927.11.15650	terminal uridylyltransferase 4	<input id="checkbox_Tb927.11.15650" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.15650">
Tb927.9.1080	expression site-associated gene 3 (ESAG3  pseudogene)  putative	<input id="checkbox_Tb927.9.1080" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.1080">
Tb927.7.980	hypothetical protein  conserved	<input id="checkbox_Tb927.7.980" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.980">
Tb927.11.540	ABC transporter  mitochondrial  putative	<input id="checkbox_Tb927.11.540" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.540">
Tb09.v4.0141	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb09.v4.0141" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb09.v4.0141">
Tb927.4.4750	hypothetical protein  conserved	<input id="checkbox_Tb927.4.4750" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.4750">
Tb927.4.520	hypothetical protein  conserved	<input id="checkbox_Tb927.4.520" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.520">
Tb927.9.16310	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb927.9.16310" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.16310">
Tb927.8.1800	Eukaryotic membrane protein family  putative	<input id="checkbox_Tb927.8.1800" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.1800">
Tb927.11.10410	Cornichon protein  putative	<input id="checkbox_Tb927.11.10410" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.10410">
Tb927.7.6090	eukaryotic translation initiation factor 3 subunit a	<input id="checkbox_Tb927.7.6090" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.6090">
Tb927.6.840	hypothetical protein  conserved	<input id="checkbox_Tb927.6.840" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.840">
Tb927.11.5300	Kinesin-13 3  putative	<input id="checkbox_Tb927.11.5300" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.5300">
Tb927.10.11300	paraflagellar rod component  putative	<input id="checkbox_Tb927.10.11300" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.11300">
Tb11.v5.0817	ubiquitin-protein ligase  putative	<input id="checkbox_Tb11.v5.0817" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0817">
Tb927.9.3640	LSU ribosomal protein  mitochondrial  putative	<input id="checkbox_Tb927.9.3640" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.3640">
Tb927.11.18790	variant surface protein (VSG)  putative	<input id="checkbox_Tb927.11.18790" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.18790">
Tb927.4.2180	60S ribosomal protein L35a  putative	<input id="checkbox_Tb927.4.2180" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.2180">
Tb927.11.16650	hypothetical protein  conserved	<input id="checkbox_Tb927.11.16650" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.16650">
Tb927.8.330	variant surface glycoprotein  point mutation	<input id="checkbox_Tb927.8.330" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.330">
Tb11.v5.0152	ribosomal RNA processing protein 4  putative	<input id="checkbox_Tb11.v5.0152" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0152">
Tb927.2.4900	hypothetical protein  conserved	<input id="checkbox_Tb927.2.4900" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.2.4900">
Tb927.11.3520	Acyl CoA binding protein  putative	<input id="checkbox_Tb927.11.3520" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.3520">
Tb927.9.4570	hypothetical protein  conserved	<input id="checkbox_Tb927.9.4570" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.4570">
Tb927.11.5800	hypothetical protein  conserved	<input id="checkbox_Tb927.11.5800" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.5800">
Tb927.5.4060	Nicastrin  putative	<input id="checkbox_Tb927.5.4060" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.5.4060">
Tb927.7.2150	SUMO-interacting motif-containing protein	<input id="checkbox_Tb927.7.2150" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.2150">
Tb927.8.6540	TFIIH basal transcription factor subunit	<input id="checkbox_Tb927.8.6540" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.6540">
Tb927.2.4440	hypothetical protein	<input id="checkbox_Tb927.2.4440" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.2.4440">
Tb927.6.320	receptor-type adenylate cyclase GRESAG 4  pseudogene  putative	<input id="checkbox_Tb927.6.320" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.320">
Tb05.5K5.310	expression site-associated gene 3 (ESAG3)  degenerate	<input id="checkbox_Tb05.5K5.310" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb05.5K5.310">
Tb927.11.11880	conserved protein	<input id="checkbox_Tb927.11.11880" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.11880">
Tb927.6.5120	60S acidic ribosomal protein P2  putative	<input id="checkbox_Tb927.6.5120" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.5120">
Tb927.10.11070	hypothetical protein  conserved	<input id="checkbox_Tb927.10.11070" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.11070">
Tb927.7.960	CMGC/SRPK protein kinase  putative	<input id="checkbox_Tb927.7.960" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.960">
Tb927.10.4890	zinc-finger of a C2HC-type  putative	<input id="checkbox_Tb927.10.4890" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.4890">
Tb927.5.1700	replication Factor A 28 kDa subunit  putative	<input id="checkbox_Tb927.5.1700" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.5.1700">
Tb927.10.11800	Axonemal inner arm dynein light chain  putative	<input id="checkbox_Tb927.10.11800" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.11800">
Tb927.3.3150	hypothetical protein  conserved	<input id="checkbox_Tb927.3.3150" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.3.3150">
Tb11.v5.0947	variant surface glycoprotein (VSG)  putative	<input id="checkbox_Tb11.v5.0947" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0947">
Tb927.11.17630	variant surface glycoprotein (VSG)  frameshifted and degenerate	<input id="checkbox_Tb927.11.17630" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.17630">
Tb927.11.5740	formin-like protein	<input id="checkbox_Tb927.11.5740" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.5740">
Tb927.6.1440	LSU ribosomal protein  mitochondrial  putative	<input id="checkbox_Tb927.6.1440" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.1440">
Tb11.v5.0950	variant surface glycoprotein (VSG  atypical)  putative	<input id="checkbox_Tb11.v5.0950" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0950">
Tb927.8.2570	hypothetical protein  conserved	<input id="checkbox_Tb927.8.2570" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.2570">
Tb927.8.4160	hypothetical protein  conserved	<input id="checkbox_Tb927.8.4160" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.4160">
Tb927.8.590	carnitine O-palmitoyltransferase  putative	<input id="checkbox_Tb927.8.590" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.590">
Tb927.7.3820	hypothetical protein  conserved	<input id="checkbox_Tb927.7.3820" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.3820">
Tb927.8.5450	amino acid permease 24	<input id="checkbox_Tb927.8.5450" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.5450">
Tb927.7.2120	hypothetical protein  conserved	<input id="checkbox_Tb927.7.2120" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.2120">
Tb11.v5.0628	tubulin binding cofactor c  putative	<input id="checkbox_Tb11.v5.0628" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0628">
Tb11.v5.0574	Organic solute transport protein 1  putative	<input id="checkbox_Tb11.v5.0574" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0574">
Tb09.v4.0065	expression site-associated gene 1 (ESAG 1)  putative	<input id="checkbox_Tb09.v4.0065" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb09.v4.0065">
Tb11.v5.0561	fatty acyl CoA synthetase  putative	<input id="checkbox_Tb11.v5.0561" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0561">
Tb927.9.7000	methyltransferase domain containing protein  putative	<input id="checkbox_Tb927.9.7000" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.7000">
Tb927.7.6110	Protein of unknown function (DUF3522)  putative	<input id="checkbox_Tb927.7.6110" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.6110">
Tb927.3.5880	variant surface glycoprotein  point mutation	<input id="checkbox_Tb927.3.5880" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.3.5880">
Tb927.9.1940	hypothetical protein  conserved	<input id="checkbox_Tb927.9.1940" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.1940">
Tb927.2.5130	hypothetical protein  conserved	<input id="checkbox_Tb927.2.5130" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.2.5130">
Tb927.9.5680	inositol/phosphatidylinositol phosphatase  putative	<input id="checkbox_Tb927.9.5680" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.5680">
Tb927.11.3950	hypothetical protein  conserved	<input id="checkbox_Tb927.11.3950" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.3950">
Tb09.v4.0108	expression site-associated gene 8 (ESAG8)  pseudogene	<input id="checkbox_Tb09.v4.0108" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb09.v4.0108">
Tb927.11.9640	glycyl-tRNA synthetase  putative	<input id="checkbox_Tb927.11.9640" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.9640">
Tb11.0300	hypothetical protein	<input id="checkbox_Tb11.0300" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.0300">
Tb927.11.8400	Mitochondrial RNA processing endonuclease 1 (mRPN1)	<input id="checkbox_Tb927.11.8400" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.8400">
Tb927.5.3430	ubiquitin-activating enzyme E1  putative	<input id="checkbox_Tb927.5.3430" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.5.3430">
Tb927.4.2760	Protein of unknown function (DUF3808)  putative	<input id="checkbox_Tb927.4.2760" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.2760">
Tb927.1.4250	hypothetical protein  conserved	<input id="checkbox_Tb927.1.4250" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.1.4250">
Tb11.v5.0446	hypothetical protein  conserved	<input id="checkbox_Tb11.v5.0446" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0446">
Tb927.10.11940	ABC1 protein  putative	<input id="checkbox_Tb927.10.11940" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.11940">
Tb927.11.1820	translation initiation factor eIF2B delta subunit  putative	<input id="checkbox_Tb927.11.1820" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.1820">
Tb927.6.3110	cdc2-related protein kinase 11  putative	<input id="checkbox_Tb927.6.3110" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.3110">
Tb927.7.3360	farnesyl pyrophosphate synthase	<input id="checkbox_Tb927.7.3360" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.3360">
Tb11.v5.0812	signal recognition particle protein  putative	<input id="checkbox_Tb11.v5.0812" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0812">
Tb927.11.14780	phosphomannose isomerase	<input id="checkbox_Tb927.11.14780" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.14780">
Tb927.11.980	Nucleoporin NUP158	<input id="checkbox_Tb927.11.980" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.980">
